,Predicted,Actual
2000-01-31,,
2000-02-29,,
2000-03-31,,
2000-04-30,,
2000-05-31,,
2000-06-30,,
2000-07-31,,
2000-08-31,,
2000-09-30,,
2000-10-31,,
2000-11-30,,
2000-12-31,,
2001-01-31,,3.4360189573459614
2001-02-28,,3.7212049616066047
2001-03-31,,3.5294117647058822
2001-04-30,,2.982456140350874
2001-05-31,,3.218256290228204
2001-06-30,,3.5630841121495465
2001-07-31,,3.1939605110336817
2001-08-31,,2.7214823393167444
2001-09-30,,2.7214823393167444
2001-10-31,,2.592165898617512
2001-11-30,,2.1276595744680784
2001-12-31,,1.8943742824339904
2002-01-31,,1.603665521191301
2002-02-28,,1.195899772209564
2002-03-31,,1.1363636363636365
2002-04-30,,1.3628620102214684
2002-05-31,,1.6439909297052189
2002-06-30,,1.240834743372808
2002-07-31,,1.0692177827799696
2002-08-31,,1.4656144306651604
2002-09-30,,1.74746335963923
2002-10-31,,1.5160022459292628
2002-11-30,,2.027027027027024
2002-12-31,,2.2535211267605635
2003-01-31,,2.480270574971818
2003-02-28,,2.7574563871693902
2003-03-31,,3.1460674157303337
2003-04-30,,3.0252100840336165
2003-05-31,,2.1751254880089106
2003-06-30,,1.8941504178273008
2003-07-31,,1.9487750556792875
2003-08-31,,2.055555555555549
2003-09-30,,2.21606648199446
2003-10-31,,2.378318584070787
2003-11-30,,2.041942604856521
2003-12-31,,1.9283746556473829
2004-01-31,,2.0352035203520287
2004-02-29,,2.0262869660460114
2004-03-31,,1.6884531590413914
2004-04-30,,1.740076128330608
2004-05-31,,2.2925764192139835
2004-06-30,,2.897758337889548
2004-07-31,,3.1676679410158446
2004-08-31,,2.9395753946652183
2004-09-30,,2.5474254742547364
2004-10-31,,2.539168017287962
2004-11-30,,3.190914007571663
2004-12-31,,3.6216216216216153
2005-01-31,,3.342318059299185
2005-02-28,,2.844873859366604
2005-03-31,,3.0530262453133465
2005-04-30,,3.2068412613575634
2005-05-31,,3.361792956243321
2005-06-30,,2.869287991498409
2005-07-31,,2.541026998411849
2005-08-31,,3.067160232681127
2005-09-30,,3.6469344608879526
2005-10-31,,4.7418335089567965
2005-11-30,,4.350104821802925
2005-12-31,,3.3385498174230603
2006-01-31,,3.3385498174230603
2006-02-28,,4.018789144050113
2006-03-31,,3.638253638253639
2006-04-30,,3.4179181771103027
2006-05-31,,3.6138358286009296
2006-06-30,,3.977272727272736
2006-07-31,,4.181724315952516
2006-08-31,,4.104669061056952
2006-09-30,,3.926568077511482
2006-10-31,,2.0120724346076457
2006-11-30,,1.4063284781516885
2006-12-31,,1.9687026754164592
2007-01-31,,2.523977788995457
2007-02-28,,2.075765178123432
2007-03-31,,2.4202607823470377
2007-04-30,,2.798197295943927
2007-05-31,,2.5929247633283548
2007-06-30,,2.70988574267262
2007-07-31,,2.6927651139742306
2007-08-31,,2.317890586495812
2007-09-30,,1.897448478900878
2007-10-31,,2.833826429980269
2007-11-30,,3.610698365527485
2007-12-31,,4.373267326732675
2008-01-31,,4.108813392417527
2008-02-29,,4.29469565516597
2008-03-31,,4.142959270611976
2008-04-30,,3.974903550134443
2008-05-31,4.888113526249465,3.903760975988816
2008-06-30,4.802791586168591,4.088413823123989
2008-07-31,4.789205750042326,4.935966105947858
2008-08-31,5.317232302238545,5.497512078341826
2008-09-30,5.337360954995092,5.308017162091231
2008-10-31,4.785397542337916,4.953319875136067
2008-11-30,4.493060453827716,3.731057889956503
2008-12-31,2.637391135533928,1.0999174706166883
2009-01-31,1.8769563584080433,-0.0222280025538542
2009-02-28,2.0175225508004364,-0.1135860190221298
2009-03-31,0.575651673018676,0.0084631406715035
2009-04-30,-0.25865015477033637,-0.4464787676623828
2009-05-31,1.2438488846567495,-0.5763244243767021
2009-06-30,1.21652015234588,-1.015761495855176
2009-07-31,0.9009587067054436,-1.229174618210915
2009-08-31,1.434350861541736,-1.9587610037622785
2009-09-30,1.1057205059445776,-1.483835566326766
2009-10-31,1.592762462519409,-1.37794286288647
2009-11-30,0.2913212545755486,-0.2239682942003356
2009-12-31,0.44621693139586505,1.914587174470928
2010-01-31,0.926360392238887,2.8141231232083617
2010-02-28,-0.6085100395523104,2.621111388976708
2010-03-31,0.24170740473867136,2.151336357866525
2010-04-30,0.6029624637458895,2.2861714393279864
2010-05-31,0.22267111405598983,2.206770752530447
2010-06-30,1.48431299990595,2.0035489292185784
2010-07-31,1.5342180474845832,1.1215605940686346
2010-08-31,1.6779281640658232,1.3407784804820986
2010-09-30,1.9326780252425757,1.150177539511248
2010-10-31,1.6036557003873502,1.1183122472331806
2010-11-30,2.244602664944979,1.166695148931458
2010-12-31,2.3430969316353094,1.0845447766003455
2011-01-31,1.8841569854450761,1.4377930222179278
2011-02-28,2.076761028286237,1.700783491502985
2011-03-31,1.949836103407733,2.1248981733331447
2011-04-30,2.3990682178460268,2.619241510354117
2011-05-31,2.314152362296153,3.07723444478687
2011-06-30,2.4549485166094653,3.458971880896507
2011-07-31,2.688917456045017,3.5023181506360523
2011-08-31,2.29491954307143,3.579880976999619
2011-09-30,2.7357307645771294,3.754996030708091
2011-10-31,3.0001812134525294,3.8126216928186936
2011-11-30,2.3204500260229084,3.522268130664051
2011-12-31,1.9757040895257698,3.451432214581724
2012-01-31,1.883569566234606,3.062066838419393
2012-02-29,1.155649517561205,3.008766337985506
2012-03-31,1.3778109893088133,2.89817844234739
2012-04-30,1.41418540201503,2.5828752813321
2012-05-31,1.6234166007003297,2.273163374134856
2012-06-30,1.4420579396957036,1.7379429374660738
2012-07-31,0.5686462233868718,1.6538704482976383
2012-08-31,1.008210927504205,1.4175114798464887
2012-09-30,0.8261750676583152,1.6859349154821242
2012-10-31,1.2523099347733153,1.9497168982819624
2012-11-30,1.778964458054273,2.155678059536937
2012-12-31,1.708401533593901,1.7960197033926213
2013-01-31,1.5924324924368887,1.7595049796895517
2013-02-28,1.946728534879243,1.6840617620982914
2013-03-31,1.8979664581227254,2.018140490257481
2013-04-30,2.18794029656522,1.518747241124626
2013-05-31,0.7567975429352933,1.1388080475768632
2013-06-30,0.5156516246335413,1.3903888279197103
2013-07-31,0.5278266884612414,1.7157935271568816
2013-08-31,0.2476119653415687,1.8854718054158108
2013-09-30,0.8257847733188539,1.538809488600276
2013-10-31,0.7877446510546728,1.0947341081748048
2013-11-30,0.2997480603816358,0.8767991434911396
2013-12-31,0.2973242551914659,1.2328701961954427
2014-01-31,0.13918429663153042,1.5128383667573404
2014-02-28,0.9688594851943015,1.5577587955749157
2014-03-31,0.8843877245614304,1.1204746347724857
2014-04-30,0.8513230749145169,1.6126949139408049
2014-05-31,2.0687595424136567,2.0151253036061694
2014-06-30,2.324973243341512,2.166947687079819
2014-07-31,2.468235449677062,2.058981694594421
2014-08-31,1.1652455555194419,1.9742378703306076
2014-09-30,1.2585854739032494,1.7150983482969036
2014-10-31,1.3156543932140823,1.6840509711232112
2014-11-30,1.356540104511343,1.609541702151332
2014-12-31,0.9946865653203907,1.2315249893208071
2015-01-31,0.9098579186474165,0.6531213919623104
2015-02-28,-0.23612193937180948,-0.229930978205432
2015-03-31,-0.802421618945468,-0.0870314629352036
2015-04-30,-0.924011406856722,-0.0220312844238787
2015-05-31,-0.8074506703662554,-0.1040309893939057
2015-06-30,-0.8419722075096849,0.0350332182442863
2015-07-31,-0.7745917871723047,0.1795718097550556
2015-08-31,0.6606159411557704,0.2256861110409356
2015-09-30,0.49367635016019373,0.2413037985344812
2015-10-31,-0.006410344275928237,0.0088429616341736
2015-11-30,-0.222387816806634,0.1276165606705122
2015-12-31,-0.32287712191646434,0.4363182169185097
2016-01-31,-0.3411887023347011,0.638724751536489
2016-02-29,-0.8773925297033237,1.2375025026943784
2016-03-31,-0.5989782999791955,0.8472775790126708
2016-04-30,-0.5850086019032392,0.8916160965521974
2016-05-31,-0.6811046054665216,1.1726257503534734
2016-06-30,-0.3819900436304513,1.0784764621246252
2016-07-31,-0.46069368201793437,1.0792865347959444
2016-08-31,-0.10296126375548553,0.868363343051836
2016-09-30,-0.12337843749624655,1.0553158595656909
2016-10-31,-0.262424176998429,1.5486446201652213
2016-11-30,-0.4090533396981896,1.685924966243647
2016-12-31,-0.24945779426252657,1.6843334719788985
2017-01-31,0.1645813705274204,2.0507989115119822
2017-02-28,1.1491819295415602,2.510393348257119
2017-03-31,1.4943297409543064,2.810361681329418
2017-04-30,1.586642241442413,2.441196236559133
2017-05-31,2.0397155455398392,2.176223471915387
2017-06-30,2.2372178066195527,1.8563431667619823
2017-07-31,2.062805403983739,1.640565809959122
2017-08-31,2.085958358886437,1.7251073506565968
2017-09-30,1.9904796665504354,1.9281215572969737
2017-10-31,2.189034578055438,2.1805652303711875
2017-11-30,2.041349015200755,2.020757753132481
2017-12-31,2.045491319779446,2.172493864295564
2018-01-31,2.2730526618171885,2.1299307195522554
2018-02-28,1.522836788143608,2.151318868063942
2018-03-31,1.770352347198429,2.263468931091857
2018-04-30,2.1082116180368287,2.330949764649928
2018-05-31,1.9467707981839286,2.4709963021052985
2018-06-30,1.8676406834092112,2.781921607842499
2018-07-31,1.9008284282327756,2.807550693594029
2018-08-31,1.281017705557941,2.8541247855619214
2018-09-30,1.3780764924288922,2.642923856874261
2018-10-31,1.1763351355354568,2.3320551058088284
2018-11-30,1.3416512331018104,2.4920324702180574
2018-12-31,1.3496552742454822,2.147328577667784
2019-01-31,1.087709692202556,2.002380904340101
2019-02-28,1.8798508493728119,1.4875893578291313
2019-03-31,1.257895164821356,1.518861535132186
2019-04-30,1.590382938681731,1.883186351306406
2019-05-31,2.252447499722237,2.0005834702090506
2019-06-30,1.9363079726891235,1.795910555360614
2019-07-31,1.830916388515534,1.671194894390041
2019-08-31,2.031268780959623,1.8263313350370576
2019-09-30,2.041310492775181,1.7376412106666417
2019-10-31,1.8774089550122917,1.6844977040391538
2019-11-30,2.0613747872046115,1.7339736996186217
2019-12-31,2.0941777874170397,2.092290394862913
2020-01-31,2.2458142149139424,2.3195274699624555
2020-02-29,1.3002771221350837,2.599767976845199
2020-03-31,1.6511393683606035,2.341316679759517
2020-04-30,-0.6119640567777916,1.494039964290925
2020-05-31,-4.354525186864548,0.3130472940411225
2020-06-30,-3.0193960762648366,0.1982013035848584
2020-07-31,-1.4195601928384962,0.7166562831830586
2020-08-31,-0.7885590500498805,0.9968647625898088
2020-09-30,-0.7143890225129019,1.281069849552396
2020-10-31,-0.09729659776242405,1.3910228912373777
2020-11-30,-1.0625403280128292,1.2303863428671598
2020-12-31,-1.156493036012615,1.1757452138405928
2021-01-31,-0.8335929464250951,1.3204191315779377
2021-02-28,0.1511525073236104,1.355319978234611
2021-03-31,0.17926715036913743,1.6675024108003775
2021-04-30,1.7534859681869395,2.623645747764208
2021-05-31,4.050776170226049,4.137373453318342
2021-06-30,6.972655293790893,4.926466563983083
2021-07-31,5.884014990764907,5.317418943207728
2021-08-31,6.185316922023103,5.269167647240973
2021-09-30,6.2056120534323815,5.181323173271236
2021-10-31,6.194140462555981,5.363523425270288
2021-11-30,9.272271071529845,6.226591220771439
2021-12-31,9.752215409576953,6.8655595202961965
2022-01-31,10.429319156583007,7.159457345112467
2022-02-28,10.607700783615106,7.578082463000531
2022-03-31,10.973253548006076,7.949220898953991
2022-04-30,11.813477725245916,8.540780148538593
2022-05-31,11.35607526375265,8.235161744022502
2022-06-30,11.10474755415503,8.530051713089216
2022-07-31,11.952148729737273,8.9992981419231
2022-08-31,9.476067234405097,8.447778206754556
2022-09-30,9.20846866685303,8.216255059541258
2022-10-31,9.277071673148063,8.205751582451754
2022-11-30,7.756320584218152,7.7572614708094525
2022-12-31,6.875009850200877,7.131380368978285
2023-01-31,6.421446748585299,6.410831677385814
2023-02-28,6.302730139338088,6.340296309929159
2023-03-31,5.96906592497959,5.9576487127669004
2023-04-30,4.993264460548128,4.931348641757137
2023-05-31,4.416765169694331,4.946947488062322
2023-06-30,4.330354641657317,4.125314539356468
2023-07-31,3.359428015699872,3.0592533347793034
2023-08-31,3.3737571572369593,3.280328202346244
2023-09-30,3.6852041187563604,3.7186358677607543
2023-10-31,3.38802874443478,3.695082332223437
2023-11-30,3.711822369834432,3.246537507676727
2023-12-31,3.2880748421966244,3.139855644977691
2024-01-31,3.195057354136222,3.322200208829757
2024-02-29,3.128068679798912,3.1079425939238905
2024-03-31,2.9881001285980355,3.1664212076583187
2024-04-30,3.469016420685436,3.4690014354717515
2024-05-31,3.3029356688008664,3.3540471111874264
2024-06-30,3.111130596272618,3.238866396761138
2024-07-31,3.0577738546024156,2.9700853998204475
2024-08-31,2.916264993865772,2.9384633061405263
2024-09-30,2.7508894555314276,2.610914032233828
2024-10-31,2.400835218967952,2.432541464144649
2024-11-30,2.5679876832556987,2.5714034967967163
2024-12-31,2.677871144204447,2.7141684004842865
2025-01-31,2.7715430118474966,2.87236626880658
2025-02-28,2.8987605992257777,2.999412512831117
2025-03-31,2.9424734373354164,2.8142703731568783
